selection_order,case,selection_reason,selector_bucket,scale_grade,pi_bin,po_bin,names_bin,cubes_bin,max_fanin,avg_fanin,two_input_ratio,high_fanin_sop,near_two_input_aig,final_pipeline,final_nodes,final_levels,baseline_nodes,node_gain_vs_baseline,opt_runtime_sec,cec_runtime_sec,peak_mem_mb,usage_note
1,tc_public_30,largest node gain vs baseline,large|near_aig|not_sop|po_small,large,pi_tiny,po_small,names_large,cubes_large,2,1.999,0.999,false,true,high_aig_three_round,5421,21,9418,3997,1.9577635000168812,4.635035799990874,34.46484375,SMOKE_ONLY_NOT_FINAL_CONCLUSION
2,tc_public_22,max-level pressure case,large|near_aig|not_sop|po_small,large,pi_large,po_small,names_large,cubes_large,2,2.000,1.000,false,true,high_aig_three_round,11049,20,11265,216,33.58721440000227,4.788163799996255,34.92578125,SMOKE_ONLY_NOT_FINAL_CONCLUSION
3,tc_public_21,large near-two-input AIG with small output bin,large|near_aig|not_sop|po_small,large,pi_large,po_small,names_large,cubes_large,2,2.000,1.000,false,true,high_aig_three_round,5556,20,5685,129,17.078406200016616,2.5636541999992914,27.41796875,SMOKE_ONLY_NOT_FINAL_CONCLUSION
4,tc_public_14,large near-two-input AIG with medium output bin,large|near_aig|not_sop|po_medium,large,pi_large,po_medium,names_large,cubes_medium,2,1.973,0.973,false,true,r7b_r7win_fraig_high,2223,17,4474,2251,1.0855349999910686,0.33418899998650886,24.98046875,SMOKE_ONLY_NOT_FINAL_CONCLUSION
5,tc_public_12,medium non-AIG selector rewrite bucket,medium|non_aig|not_sop|po_large,medium,pi_large,po_large,names_medium,cubes_medium,2,1.810,0.810,false,false,rewrite2,1385,13,1407,22,0.34263510000891984,0.17437889997381717,15.125,SMOKE_ONLY_NOT_FINAL_CONCLUSION
6,tc_public_23,medium near-two-input AIG bucket,medium|near_aig|not_sop|po_tiny,medium,pi_large,po_tiny,names_medium,cubes_medium,2,1.995,0.995,false,true,dc2_fast,1530,16,1530,0,0.3751277000119444,0.15480530000058934,16.40625,SMOKE_ONLY_NOT_FINAL_CONCLUSION
7,tc_public_9,tiny high-fanin SOP bucket,tiny|non_aig|high_sop|po_medium,tiny,pi_medium,po_medium,names_tiny,cubes_tiny,3,2.333,0.667,true,false,sop_fx,224,5,224,0,0.19641289999708533,0.19913130000350066,9.53515625,SMOKE_ONLY_NOT_FINAL_CONCLUSION
8,tc_public_7,small high-fanin SOP bucket,small|non_aig|high_sop|po_medium,small,pi_medium,po_medium,names_small,cubes_tiny,3,2.504,0.496,true,false,sop_fx,252,3,252,0,0.18624549999367446,0.19355160000850447,9.640625,SMOKE_ONLY_NOT_FINAL_CONCLUSION
9,tc_public_15,small near-two-input AIG bucket,small|near_aig|not_sop|po_medium,small,pi_small,po_medium,names_small,cubes_small,2,1.995,0.995,false,true,r7b_r7win_fraig_high,922,11,928,6,0.3944130000018049,0.22919369998271577,17.89453125,SMOKE_ONLY_NOT_FINAL_CONCLUSION
10,tc_public_28,zero-gain guard bucket,small|near_aig|not_sop|po_small,small,pi_small,po_small,names_small,cubes_small,2,1.965,0.965,false,true,dc2_fast,520,7,520,0,0.28931829999783076,0.15788319997955114,12.375,SMOKE_ONLY_NOT_FINAL_CONCLUSION
11,tc_public_16,tiny non-SOP non-AIG guard bucket,tiny|non_aig|not_sop|po_tiny,tiny,pi_tiny,po_tiny,names_tiny,cubes_tiny,2,1.536,0.536,false,false,dc2_fast,45,6,45,0,0.25535730001865886,0.11663049997878261,9.0234375,SMOKE_ONLY_NOT_FINAL_CONCLUSION
